word,index
the,0
of,1
my,2
on,3
at,4
nö,5
@,6
first,7
artificial,8
intelligence,9
a,10
chance,11
to,12
win,13
video,14
editing,15
don’t,16
mind,17
if,18
i,19
do,20
thanks,21
and,22
office,23
allnighter,24
strand,25
st,26
peterording,27
hat,28
gerade,29
ein,30
foto,31
ich,32
habe,33
spontan,34
noch,35
für,36
eine,37
morgen,38
abend,39
in,40
der,41
hamburger,42
city,43
im,44
von,45
hamburg,46
ohne,47
zu,48
und,49
essen,50
new,51
form,52
carbon,53
that,54
is,55
than,56
diamond,57
but,58
as,59
true,60
successful,61
companies,62
an,63
part,64
their,65
user,66
ab,67
bei,68
uns,69
events,70
iphone,71
comes,72
w,73
free,74
weekend,75
nyc,76
jeden,77
—,78
mit,79
den,80
town,81
beach,82
brooklyn,83
bridge,84
airport,85
computer,86
was,87
which,88
startups,89
would,90
be,91
were,92
brands,93
dont,94
always,95
day,96
11,97
#bullifamilytrip,98
#croatia,99
2,100
kind,101
totally,102
best,103
app,104
for,105
work,106
door,107
guest,108
check,109
ticket,110
time,111
well,112
youpooly,113
german,114
school,115
never,116
had,117
been,118
so,119
much,120
fun,121
there,122
or,123
jemand,124
einen,125
tipp,126
heute,127
nic,128
haben,129
etwas,130
@brunobyington,131
@youpooly,132
geht,133
dir,134
am,135
getting,136
email,137
gt,138
this,139
no,140
…,141
what,142
from,143
#youpooly,144
design,145
team,146
working,147
like,148
you,149
see,150
#design,151
#hamburg,152
some,153
great,154
screens,155
@kos,156
@applesupport,157
want,158
magic,159
mouse,160
not,161
with,162
pro,163
why,164
cable,165
instead,166
hey,167
how,168
can,169
it,170
we,171
bought,172
3,173
#readthis,174
#guteleutemagazine,175
germany,176
dabei,177
helfen,178
dass,179
trump,180
die,181
lets,182
invest,183
company,184
art,185
reading,186
–,187
does,188
know,189
read,190
better,191
perfect,192
world,193
who,194
16,195
download,196
full,197
fix,198
apple,199
already,200
show,201
trial,202
they,203
he,204
grow,205
more,206
his,207
him,208
visit,209
google,210
developer,211
conference,212
sure,213
these,214
5,215
date,216
place,217
page,218
animation,219
make,220
users,221
screen,222
ui,223
ux,224
gesucht,225
twitter,226
wir,227
zwei,228
diese,229
woche,230
bis,231
sonntag,232
18,233
du,234
zur,235
meet,236
ben,237
party,238
#bucketfunding,239
family,240
creates,241
solar,242
electric,243
volkswagen,244
van,245
find,246
out,247
wine,248
beer,249
need,250
us,251
introduce,252
are,253
years,254
help,255
surprise,256
start,257
event,258
ideas,259
morning,260
hours,261
#sparkevents,262
#hostbusters,263
tell,264
your,265
idea,266
happen,267
just,268
parties,269
budget,270
ways,271
pooling,272
money,273
improves,274
social,275
bucket,276
funding,277
good,278
life,279
thx,280
guys,281
love,282
tiny,283
deep,284
williamsburg,285
till,286
lufthansa,287
lounge,288
#websummit,289
#websummit2016,290
de,291
#lisbon,292
tonight,293
join,294
#happyhour,295
cover,296
hunt,297
down,298
little,299
right,300
now,301
das,302
lisboa,303
elon,304
musk,305
unveils,306
roof,307
by,308
vote,309
pitch,310
#tnw,311
throw,312
fund,313
friends,314
released,315
major,316
needs,317
1,318
printer,319
facebook,320
ihr,321
sind,322
als,323
#scale,324
startup,325
wollen,326
#startups,327
going,328
23,329
vicki,330
peng,331
amp,332
venture,333
capital,334
tnw,335
hardware,336
robot,337
system,338
fingers,339
worth,340
anybody,341
go,342
have,343
50,344
code,345
still,346
#google,347
all,348
#download,349
web,350
summit,351
2016,352
sync,353
auf,354
send,355
meeting,356
attending,357
nov,358
really,359
statistics,360
brought,361
seems,362
#gmaildown,363
issue,364
link,365
neural,366
networks,367
thinking,368
digital,369
someone,370
music,371
via,372
@venturebeat,373
crazy,374
growing,375
platform,376
tv,377
darker,378
vintage,379
1963,380
nasa,381
put,382
up,383
space,384
suit,385
two,386
konnte,387
man,388
hype,389
cycle,390
kaum,391
ist,392
er,393
eher,394
nicht,395
its,396
friday,397
directors,398
cut,399
wird,400
spannende,401
answer,402
where,403
favorite,404
welche,405
denn,406
wondering,407
smart,408
has,409
hands,410
yet,411
people,412
use,413
invite,414
picnic,415
apps,416
cool,417
near,418
me,419
way,420
say,421
white,422
think,423
wer,424
will,425
einladungen,426
deine,427
finde,428
private,429
nähe,430
content,431
marketing,432
using,433
laptop,434
get,435
house,436
invitation,437
card,438
data,439
mobile,440
unique,441
13th,442
run,443
own,444
center,445
should,446
cloud,447
next,448
online,449
makes,450
any,451
india,452
maker,453
suggestion,454
1st,455
hand,456
experience,457
silicon,458
valley,459
bank,460
alster,461
park,462
am,463
